City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
321,Okhotsk,0,RU,1611665411,77,59.3833,143.3,-26.84,3.88
322,Muroto-misakicho,100,JP,1611665411,85,33.2833,134.15,17.6,12.0
323,Kendari,100,ID,1611665177,88,-3.945,122.4989,25.14,0.64
324,Chicama,75,PE,1611665413,94,-7.8447,-79.1469,19.0,2.57
325,Saint-Augustin,0,CA,1611665413,93,51.226,-58.6502,-1.98,6.42
326,Marzuq,77,YE,1611665414,15,14.4,46.4667,26.32,2.23
327,Kalmunai,79,LK,1611665415,76,7.4167,81.8167,24.34,4.68
328,Mount Isa,93,AU,1611665416,78,-20.7333,139.5,26.0,3.09
329,Poum,38,NC,1611665418,79,-20.2333,164.0167,26.89,9.57
330,Wairoa,0,NZ,1611665418,86,-39.0333,177.3667,19.44,1.66
331,Nara,100,JP,1611665322,91,34.6851,135.8049,12.22,1.38
332,Yar-Sale,100,RU,1611665419,88,66.8333,70.8333,-29.45,1.65
333,Isangel,90,VU,1611665420,83,-19.55,169.2667,26.0,4.12
334,Makkah al Mukarramah,82,SA,1611664838,36,21.4267,39.8261,29.84,4.77
335,Izumo,75,JP,1611665422,100,35.3667,132.7667,9.0,2.57
336,Hambantota,20,LK,1611665423,70,6.1241,81.1185,29.0,2.06
337,Yuncheng,94,CN,1611665424,61,35.0231,110.9928,4.26,1.13
338,Kavieng,34,PG,1611665425,76,-2.5744,150.7967,28.34,4.47
339,Tazmalt,0,DZ,1611665425,46,36.3868,4.3989,14.92,4.25
340,Rapu-Rapu,100,PH,1611665426,76,13.1866,124.1256,26.67,5.7
341,Rabak,28,SD,1611665427,16,13.1809,32.74,37.25,6.05
342,Walvis Bay,96,NA,1611665428,86,-22.9575,14.5053,22.22,4.37
343,Salym,100,RU,1611665429,94,60.0625,71.4789,-16.39,4.26
344,San Quintín,100,MX,1611665430,63,30.4833,-115.95,11.39,11.27
345,East London,20,ZA,1611665430,65,-33.0153,27.9116,25.0,9.77
346,Valparaíso,90,CL,1611665431,100,-33.0393,-71.6273,16.67,1.54
347,Karratha,41,AU,1611665431,48,-20.7377,116.8463,30.05,9.25
